Filepath,Label,Prediction
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0271.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0274.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0281.png,brick corner 1x2x2,brick 1x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0282.png,brick corner 1x2x2,brick 1x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0285.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0292.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0293.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0296.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0300.png,brick corner 1x2x2,brick 1x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0305.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0309.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0310.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0313.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0317.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0318.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0324.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0325.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0326.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0327.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0334.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0337.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0340.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0343.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0348.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0354.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0356.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0357.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0364.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0368.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0370.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0372.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0375.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0379.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0007.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0009.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0010.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0023.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0024.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0028.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0034.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0035.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0037.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0054.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0056.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0061.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0085.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0088.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0101.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0103.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0105.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0110.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0118.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0127.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0136.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0146.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0158.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0160.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0161.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0171.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0179.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0181.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0185.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0187.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0188.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0197.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0201.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0205.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0207.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0209.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0218.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0222.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0232.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0235.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0236.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0259.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0270.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0274.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0281.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0282.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0285.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0292.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0293.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0296.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0300.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0305.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0309.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0310.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0313.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0314.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0317.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0318.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0326.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0327.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0335.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0337.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0339.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0340.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0343.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0348.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0354.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0357.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0358.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0362.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0364.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0370.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0373.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0375.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0380.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0388.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0390.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0392.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0396.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3003 Brick 2x2\0400.png,brick 2x2,brick 2x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0007.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0009.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0010.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0023.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0024.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0028.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0034.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0035.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0037.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0054.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0056.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0061.png,brick 1x2,roof tile 1x2x45deg
..\ML\Lego\processed_data\test\3004 Brick 1x2\0085.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0088.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0101.png,brick 1x2,plate 1x2 with 1 knob
..\ML\Lego\processed_data\test\3004 Brick 1x2\0103.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0105.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0110.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0118.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0127.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0136.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0146.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0158.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0160.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0161.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0171.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0179.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0181.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0185.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0187.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0188.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0197.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0201.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0205.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0207.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0209.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0218.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0222.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0232.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0235.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0236.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0259.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0270.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0274.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0281.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0282.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0285.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0292.png,brick 1x2,roof tile 1x2x45deg
..\ML\Lego\processed_data\test\3004 Brick 1x2\0293.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0296.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0300.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0305.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0309.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0310.png,brick 1x2,roof tile 1x2x45deg
..\ML\Lego\processed_data\test\3004 Brick 1x2\0313.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0314.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0317.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0318.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0326.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0327.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0335.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0337.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0339.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0340.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0343.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0348.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0354.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0357.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0358.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0362.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0364.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0370.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0373.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0375.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0380.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0388.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0390.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0392.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0396.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3004 Brick 1x2\0400.png,brick 1x2,brick 1x2
..\ML\Lego\processed_data\test\3005 Brick 1x1\0007.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0009.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0010.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0023.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0024.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0028.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0034.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0035.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0037.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0054.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0056.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0061.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0085.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0088.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0101.png,brick 1x1,plate 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0103.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0105.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0110.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0118.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0127.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0136.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0146.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0158.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0160.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0161.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0171.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0179.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0181.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0185.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0187.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0188.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0197.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0201.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0205.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0207.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0209.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0218.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0222.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0232.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0235.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0236.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0259.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0270.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0274.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0281.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0282.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0285.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0292.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0293.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0296.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0300.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0305.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0309.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0310.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0313.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0314.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0317.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0318.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0326.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0327.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0335.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0337.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0339.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0340.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0343.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0348.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0354.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0357.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0358.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0362.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0364.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0370.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0373.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0375.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0380.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0388.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0390.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0392.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0396.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3005 Brick 1x1\0400.png,brick 1x1,brick 1x1
..\ML\Lego\processed_data\test\3022 Plate 2x2\201706161906-0007.png,plate 2x2,plate 2x2
..\ML\Lego\processed_data\test\3022 Plate 2x2\201706161906-0009.png,plate 2x2,plate 2x2
..\ML\Lego\processed_data\test\3022 Plate 2x2\201706161906-0010.png,plate 2x2,plate 2x2
..\ML\Lego\processed_data\test\3022 Plate 2x2\201706161906-0023.png,plate 2x2,plate 2x2
..\ML\Lego\processed_data\test\3022 Plate 2x2\201706161906-0024.png,plate 2x2,plate 2x2
..\ML\Lego\processed_data\test\3022 Plate 2x2\201706161906-0028.png,plate 2x2,plate 2x2
..\ML\Lego\processed_data\test\3022 Plate 2x2\201706161906-0034.png,plate 2x2,plate 2x2
..\ML\Lego\processed_data\test\3022 Plate 2x2\201706161906-0035.png,plate 2x2,plate 2x2
..\ML\Lego\processed_data\test\3022 Plate 2x2\201706161906-0037.png,plate 2x2,plate 2x2
..\ML\Lego\processed_data\test\3022 Plate 2x2\201706161906-0054.png,plate 2x2,plate 2x2
..\ML\Lego\processed_data\test\3022 Plate 2x2\201706161906-0056.png,plate 2x2,plate 2x2
..\ML\Lego\processed_data\test\3022 Plate 2x2\201706161906-0061.png,plate 2x2,plate 2x2
..\ML\Lego\processed_data\test\3022 Plate 2x2\201706161906-0085.png,plate 2x2,plate 2x2
..\ML\Lego\processed_data\test\3022 Plate 2x2\201706161906-0088.png,plate 2x2,plate 2x2
..\ML\Lego\processed_data\test\3022 Plate 2x2\201706161906-0101.png,plate 2x2,plate 2x2
..\ML\Lego\processed_data\test\3022 Plate 2x2\201706161906-0103.png,plate 2x2,plate 2x2
